City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,Ixtapa,20.7,-105.2,85.23,70,40,11.5,MX,2021-06-06 23:35:56
188,Lompoc,34.6391,-120.4579,71.56,72,90,11.01,US,2021-06-06 23:32:53
189,Maracaibo,10.6317,-71.6406,77.79,85,100,2.8,VE,2021-06-06 23:39:04
190,Kastamonu,41.5,33.6667,43.86,82,2,1.92,TR,2021-06-06 23:39:04
191,Darhan,49.4867,105.9228,44.87,89,100,10.67,MN,2021-06-06 23:39:04
192,Chervonohryhorivka,47.623,34.5389,60.01,83,42,3.96,UA,2021-06-06 23:39:04
193,Cabo San Lucas,22.8909,-109.9124,99.81,39,1,9.22,MX,2021-06-06 23:34:07
194,Opuwo,-18.0607,13.84,55.15,47,1,4.16,NA,2021-06-06 23:39:05
195,Tessalit,20.1986,1.0114,93.78,13,40,8.86,ML,2021-06-06 23:39:05
196,Ust-Maya,60.4167,134.5333,75.79,45,83,11.5,RU,2021-06-06 23:33:49
197,Alta,69.9689,23.2717,47.46,59,90,1.01,NO,2021-06-06 23:39:06
198,Airai,-8.9266,125.4092,65.16,64,43,3.02,TL,2021-06-06 23:35:37
199,Touros,-5.1989,-35.4608,76.1,86,12,13.58,BR,2021-06-06 23:36:16
200,Aimores,-19.4958,-41.0639,65.01,83,98,3.36,BR,2021-06-06 23:39:06
201,Dingle,10.9995,122.6711,80.74,77,100,3.0,PH,2021-06-06 23:39:06
202,Isangel,-19.55,169.2667,77.11,69,75,10.69,VU,2021-06-06 23:39:07
203,Las Vegas,36.175,-115.1372,105.1,9,1,17.27,US,2021-06-06 23:39:07
204,Truth Or Consequences,33.1284,-107.2528,98.83,9,1,20.71,US,2021-06-06 23:37:36
205,Port Lincoln,-34.7333,135.8667,62.35,51,79,25.39,AU,2021-06-06 23:34:20
206,Sakakah,29.9697,40.2064,83.77,16,0,8.68,SA,2021-06-06 23:39:07
207,Sitka,57.0531,-135.33,53.49,71,75,4.61,US,2021-06-06 23:36:04
208,Sao Filipe,14.8961,-24.4956,73.94,75,46,9.42,CV,2021-06-06 23:36:09
209,Manadhoo,5.7667,73.3833,82.54,77,100,16.28,MV,2021-06-06 23:39:08
210,Shubarshi,48.5872,57.1869,65.14,50,100,6.42,KZ,2021-06-06 23:39:08
211,Kuching,1.55,110.3333,73.62,100,40,0.0,MY,2021-06-06 23:34:27
212,Henties Bay,-22.116,14.2845,67.57,47,0,7.81,NA,2021-06-06 23:39:09
213,Leningradskiy,69.3833,178.4167,42.69,67,19,15.21,RU,2021-06-06 23:35:32
214,Ribeira Grande,38.5167,-28.7,64.99,88,100,8.39,PT,2021-06-06 23:35:14
215,Chokurdakh,70.6333,147.9167,39.92,65,98,6.17,RU,2021-06-06 23:34:41
216,Bereda,43.2686,-7.5406,55.92,100,74,3.36,ES,2021-06-06 23:36:26
217,Saldanha,-33.0117,17.9442,66.25,37,2,27.27,ZA,2021-06-06 23:35:31
218,Nioro,13.35,-15.75,78.19,70,1,11.65,GM,2021-06-06 23:39:09
219,Hithadhoo,-0.6,73.0833,82.89,74,12,13.06,MV,2021-06-06 23:35:15
220,Bagnols-Sur-Ceze,44.1599,4.6178,66.42,71,0,11.34,FR,2021-06-06 23:39:10
221,Kavieng,-2.5744,150.7967,82.9,73,50,6.46,PG,2021-06-06 23:35:51
222,Sicuani,-14.2694,-71.2261,44.65,73,49,4.92,PE,2021-06-06 23:39:10
223,Severo-Kurilsk,50.6789,156.125,43.7,92,100,11.05,RU,2021-06-06 23:35:07
224,Luganville,-15.5333,167.1667,77.5,82,100,12.26,VU,2021-06-06 23:36:18
225,Singkang,2.1006,102.7994,75.09,89,86,1.86,MY,2021-06-06 23:39:11
226,Mortka,59.3322,66.0214,55.17,92,67,3.83,RU,2021-06-06 23:39:11
227,Saint-Joseph,-21.3667,55.6167,71.98,86,72,14.85,RE,2021-06-06 23:35:30
228,Petatlan,17.5167,-101.2667,91.2,62,89,6.58,MX,2021-06-06 23:39:11
229,Acarau,-2.8856,-40.12,77.9,85,27,8.77,BR,2021-06-06 23:34:54
230,Guerrero Negro,27.9769,-114.0611,67.53,64,74,16.55,MX,2021-06-06 23:33:07
231,Gummidipundi,13.4,80.15,84.97,68,78,8.72,IN,2021-06-06 23:39:12
232,Barinitas,8.7622,-70.4111,78.28,94,100,3.78,VE,2021-06-06 23:39:12
233,Koutiala,12.3917,-5.4642,87.98,39,66,2.04,ML,2021-06-06 23:39:12
234,San Andres,12.5847,-81.7006,82.6,81,37,18.45,CO,2021-06-06 23:35:13
235,Sept-Iles,50.2001,-66.3821,59.52,41,75,3.44,CA,2021-06-06 23:39:13
