City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Ewo,CG,73.24,light rain,-0.8725,14.8206,
490,Teahupoo,PF,80.56,clear sky,-17.8333,-149.2667,
493,Boyolangu,ID,79.52,scattered clouds,-8.1181,111.8935,
494,Hobyo,SO,78.4,few clouds,5.3505,48.5268,
495,Daru,PG,77.67,overcast clouds,-9.0763,143.2092,
497,Arlit,NE,91.76,overcast clouds,18.7369,7.3853,
498,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,
501,Roebourne,AU,77.49,light rain,-20.7833,117.1333,
506,Namatanai,PG,83.3,moderate rain,-3.6667,152.4333,
508,West Lafayette,US,79.38,overcast clouds,40.4259,-86.9081,
509,Villa Juarez,MX,94.71,few clouds,24.6536,-107.5411,
510,Katsuura,JP,73.42,overcast clouds,35.1333,140.3,
511,Sao Mateus,BR,70.07,overcast clouds,-18.7161,-39.8589,
512,Zeya,RU,76.03,scattered clouds,53.75,127.2667,
513,Bilma,NE,88.56,overcast clouds,18.6853,12.9164,
518,Diu,IN,84.0,broken clouds,20.7141,70.9822,
523,Karratha,AU,78.53,scattered clouds,-20.7377,116.8463,
525,Upata,VE,71.28,overcast clouds,8.0086,-62.3989,
527,Tomatlan,MX,85.17,broken clouds,19.9333,-105.25,
528,Noumea,NC,73.38,broken clouds,-22.2763,166.4572,
532,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,
533,Marzuq,YE,79.83,broken clouds,14.4,46.4667,
534,Topolobampo,MX,94.1,few clouds,25.6,-109.05,
535,Lorengau,PG,84.54,few clouds,-2.0226,147.2712,
536,Kadhan,PK,83.41,clear sky,24.481,68.9859,
541,Coronado,US,75.96,overcast clouds,32.6859,-117.1831,
543,Jaru,BR,77.92,overcast clouds,-10.4389,-62.4664,
544,Morgan City,US,78.8,broken clouds,29.6994,-91.2068,
547,Tahta,EG,74.3,overcast clouds,26.7693,31.5021,
552,Matagami,CA,73.27,light rain,49.7502,-77.6328,
554,Wheeling,US,85.98,broken clouds,42.1392,-87.929,
562,Mahibadhoo,MV,82.81,broken clouds,3.7833,72.9667,
564,Jacksonville,US,82.22,haze,30.3322,-81.6556,
571,Mana,GF,75.85,overcast clouds,5.6592,-53.7767,
572,Harper,LR,78.22,light rain,4.375,-7.7169,
575,Natchez,US,76.89,overcast clouds,31.5604,-91.4032,
579,Lakatoro,VU,78.35,overcast clouds,-16.0999,167.4164,
580,Toba,JP,78.33,scattered clouds,34.4833,136.85,
581,Alampur,IN,82.94,scattered clouds,15.8833,78.15,
593,Naze,JP,71.58,overcast clouds,28.3667,129.4833,
594,Fort Smith,US,77.2,clear sky,35.3859,-94.3986,
598,Alofi,NU,77.22,clear sky,-19.0595,-169.9187,
601,Mandan,US,78.78,clear sky,46.8267,-100.8896,
603,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,
610,Ruidoso,US,87.66,clear sky,33.3317,-105.673,
613,Mineral Wells,US,84.6,clear sky,32.8085,-98.1128,
